Row #	Gene	Transcripts	OMIM phenotype ID	Disorder group	Inheritance mode (AR/AR-AD)
302	CENPF	ENST00000366955, ENST00000614578	243605	ID	AR
303	CENPJ	ENST00000616936, ENST00000381884, ENST00000545981	608393	ID	AR
304	CEP104	ENST00000378230, ENST00000378223	616781	ID	AR
305	CEP120	ENST00000306467, ENST00000306481, ENST00000328236, ENST00000515110	616300	ID	AR
306	CEP135	ENST00000257287, ENST00000422247	614673	ID	AR
307	CEP152	ENST00000380950, ENST00000399334, ENST00000325747	614852	ID	AR
308	CEP164	ENST00000278935	614845	Multi-system	AR
309	CEP19	ENST00000409690, ENST00000399942	615703	Multi-system	AR
310	CEP290	ENST00000309041, ENST00000547691, ENST00000552810, ENST00000397838, ENST00000541543, ENST00000223208	209900	ID	AR
311	CEP41	ENST00000343969, ENST00000489512, ENST00000616628	614464	ID	AR
312	CEP55	ENST00000371485	236500	Cilia+Kidney	AR
313	CEP57	ENST00000537677, ENST00000325486, ENST00000325542, ENST00000538658, ENST00000541150	614114	ID	AR
314	CEP78	ENST00000424347, ENST00000415759, ENST00000376597, ENST00000277082, ENST00000376598	617236	Multi-system	AR
315	CEP83	ENST00000397809, ENST00000339839, ENST00000397807, ENST00000547575	615862	ID	AR
316	CERKL	ENST00000410087, ENST00000409440, ENST00000374969, ENST00000339098, ENST00000374970	608380	Metabolic	AR-AD
317	CERS3	ENST00000284382, ENST00000538112, ENST00000394113	615023	Metabolic	AR
318	CFAP53	ENST00000398545	614779		AR
319	CFD	ENST00000327726, ENST00000592860	613912	Immune system	AR
320	CFI	ENST00000394634, ENST00000394635, ENST00000618244, ENST00000512148, ENST00000510800	610984	Multi-system	AR
321	CFL2	ENST00000298159, ENST00000341223, ENST00000555765, ENST00000556161	610687	Neuromuscular	AR
322	CFTR	ENST00000003084	277180	Metabolic	AR
323	CHAT	ENST00000339797, ENST00000351556, ENST00000395559, ENST00000337653, ENST00000395562, ENST00000640822	254210	Neuromuscular	AR
324	CHKB	ENST00000406938	602541	Metabolic-ID	AR
325	CHMP1A	ENST00000397901, ENST00000535997, ENST00000550102	614961	ID	AR
326	CHRNA1	ENST00000636168, ENST00000348749, ENST00000261007, ENST00000409219, ENST00000409542, ENST00000409323	253290	Neuromuscular	AR-AD
327	CHRND	ENST00000543200, ENST00000258385	253290	Neuromuscular	AR-AD
328	CHRNE	ENST00000293780	608931	Neuromuscular	AR-AD
329	CHRNG	ENST00000389494, ENST00000389492	265000	Neuromuscular	AR
330	CHST14	ENST00000306243, ENST00000559991	601776	Metabolic	AR
331	CHST3	ENST00000373115	143095	Metabolic	AR
332	CHST6	ENST00000332272, ENST00000390664	217800	Metabolic	AR
333	CHSY1	ENST00000254190	605282	Metabolic	AR
334	CIB2	ENST00000258930, ENST00000539011, ENST00000557846, ENST00000560618	609439	Multi-system	AR
335	CIITA	ENST00000618207, ENST00000618327, ENST00000324288, ENST00000381835	209920	Immune system	AR
336	CISD2	ENST00000273986, ENST00000503643	604928	Metabolic	AR
337	CIT	ENST00000392521, ENST00000261833, ENST00000612548	617090	ID	AR
338	CKAP2L	ENST00000302450	272440	ID	AR
339	CLCF1	ENST00000312438, ENST00000533438	610313	Multi-system	AR
340	CLCN1	ENST00000343257	255700	Neuromuscular	AR-AD
341	CLCN2	ENST00000265593, ENST00000344937, ENST00000434054, ENST00000457512	615651	Neuromuscular	AR-AD
342	CLCN7	ENST00000382745, ENST00000448525, ENST00000262318	611490	Multi-system	AR-AD
343	CLCNKB	ENST00000619181, ENST00000375679, ENST00000375667	607364	Cilia+Kidney	AR
344	CLDN1	ENST00000295522	607626	Dermatologic	AR
345	CLDN10	ENST00000376873, ENST00000299339, ENST00000376855	617671	Multi-system	AR
346	CLDN14	ENST00000399136, ENST00000342108, ENST00000399139, ENST00000399135, ENST00000399137	614035	Deafness	AR
347	CLDN16	ENST00000264734, ENST00000456423	248250	Multi-system	AR
348	CLDN19	ENST00000296387, ENST00000539749, ENST00000372539	248190	Multi-system	AR
349	CLMP	ENST00000448775	615237		AR
350	CLN3	ENST00000637100, ENST00000636147, ENST00000359984, ENST00000631023, ENST00000357857, ENST00000360019, ENST00000333496, ENST00000357806, ENST00000395653, ENST00000569430, ENST00000567963, ENST00000565316, ENST00000636228, ENST00000637551, ENST00000355477	204200	Metabolic-ID	AR
351	CLN5	ENST00000636183, ENST00000377453	256731	Metabolic-ID	AR
352	CLN6	ENST00000249806, ENST00000565471, ENST00000566347, ENST00000538696, ENST00000637494	601780	Metabolic-ID	AR
353	CLN8	ENST00000564752, ENST00000636314, ENST00000331222, ENST00000519254, ENST00000635751, ENST00000637156, ENST00000636934, ENST00000637083, ENST00000520991, ENST00000529430	600143	Metabolic-ID	AR
354	CLP1	ENST00000533682, ENST00000525602, ENST00000302731	615803	ID	AR
355	CLPB	ENST00000294053, ENST00000437826, ENST00000538039, ENST00000340729, ENST00000543042	616271	Metabolic-ID	AR
356	CLPP	ENST00000245816, ENST00000596149, ENST00000596605	614129	Metabolic	AR
357	CLRN1	ENST00000295911, ENST00000327047, ENST00000328863	614180	Multi-system	AR
358	CNGA1	ENST00000402813, ENST00000514170, ENST00000544810, ENST00000358519, ENST00000420489, ENST00000393504	613756	Blindness	AR-AD
359	CNGA3	ENST00000436404, ENST00000272602, ENST00000409937	216900	Blindness	AR
360	CNGB1	ENST00000251102, ENST00000564448, ENST00000311183	613767	Blindness	AR
361	CNGB3	ENST00000320005	262300	Blindness	AR
362	CNNM4	ENST00000377075	217080	Multi-system	AR
363	CNPY3	ENST00000394142, ENST00000372836	617929	ID	AR
364	CNTNAP1	ENST00000264638	616286	Neuromuscular	AR
365	CNTNAP2	ENST00000361727, ENST00000639247, ENST00000628930, ENST00000463592	610042	ID	AR
366	COA6	ENST00000366615, ENST00000619305, ENST00000366613, ENST00000366612	616501	Metabolic	AR
367	COA7	ENST00000371538, ENST00000421097	618387	Metabolic	AR-AD
368	COASY	ENST00000590958, ENST00000393818	615643	Metabolic-ID	AR
369	COG1	ENST00000618996, ENST00000299886	611209	Metabolic-ID	AR
370	COG4	ENST00000323786, ENST00000393612, ENST00000564653, ENST00000347053	613489	Metabolic-ID	AR-AD
371	COG5	ENST00000297135, ENST00000393603	613612	Metabolic-ID	AR-AD
372	COG6	ENST00000416691, ENST00000455146, ENST00000630730	614576	Metabolic-ID	AR
373	COG7	ENST00000307149	608779	Metabolic-ID	AR
374	COG8	ENST00000306875, ENST00000562081	611182	Metabolic-ID	AR-AD
375	COL11A2	ENST00000374708, ENST00000341947, ENST00000361917, ENST00000395194	609706	Multi-system	AR-AD
376	COL13A1	ENST00000354547, ENST00000357811, ENST00000398978, ENST00000398969, ENST00000520267, ENST00000517713, ENST00000520133, ENST00000522165	616720	Neuromuscular	AR
377	COL17A1	ENST00000353479, ENST00000369733, ENST00000393211	226650	Dermatologic	AR-AD
378	COL18A1	ENST00000400337, ENST00000355480, ENST00000359759	267750	Blindness	AR
379	COL25A1	ENST00000399132, ENST00000399127, ENST00000399126, ENST00000610288, ENST00000622134	616219	Blindness	AR
380	COL27A1	ENST00000356083	615155	Skeletal	AR
381	COL4A3	ENST00000396578	203780	Multi-system	AR-AD
382	COL4A4	ENST00000396625	203780	Multi-system	AR-AD
383	COL6A2	ENST00000300527, ENST00000310645, ENST00000409416, ENST00000397763	254090	Neuromuscular	AR-AD
384	COL6A3	ENST00000353578, ENST00000295550, ENST00000347401, ENST00000472056, ENST00000409809, ENST00000392004, ENST00000392003	254090	Neuromuscular	AR-AD
385	COL7A1	ENST00000328333	226600	Dermatologic	AR-AD
386	COLEC10	ENST00000332843	248340	Skeletal	AR
387	COLEC11	ENST00000382062, ENST00000236693, ENST00000349077, ENST00000418971, ENST00000403096, ENST00000402794, ENST00000402922, ENST00000404205	265050	ID	AR
388	COLQ	ENST00000383788, ENST00000383781, ENST00000603808, ENST00000383786	603034	Neuromuscular	AR
389	COQ2	ENST00000311469, ENST00000311461	607426	Metabolic-ID	AR
390	COQ4	ENST00000300452, ENST00000609948, ENST00000608951, ENST00000372875, ENST00000394026	616276	Metabolic-ID	AR
391	COQ6	ENST00000629426, ENST00000334571, ENST00000554920	614650	Metabolic	AR
392	COQ8A	ENST00000366779, ENST00000366778, ENST00000366777	612016	Metabolic-ID	AR
393	COQ8B	ENST00000324464, ENST00000243583	615573	Metabolic	AR
394	COQ9	ENST00000262507, ENST00000567072, ENST00000567933	614654	Metabolic-ID	AR
395	CORO1A	ENST00000219150, ENST00000570045, ENST00000565497	615401	Immune system	AR
396	COX10	ENST00000261643, ENST00000429152	256000	Metabolic-ID	AR
397	COX15	ENST00000370483, ENST00000016171	615119	Metabolic-ID	AR
398	COX20	ENST00000411948, ENST00000366528	220110	Metabolic	AR
399	COX412	ENST00000376075	612714	Metabolic	AR
400	COX6A1	ENST00000229379	616039	Metabolic	AR
401	COX6B1	ENST00000246554, ENST00000592141, ENST00000392201	220110	Metabolic-ID	AR
402	CP	ENST00000264613	604290	Metabolic	AR
403	CPA6	ENST00000297770	614418	Neuromuscular	AR-AD
404	CPLX1	ENST00000304062, ENST00000505203	617976	ID	AR
405	CPN1	ENST00000370418	212070	Immune system	AR
406	CPS1	ENST00000430249, ENST00000233072, ENST00000619804, ENST00000451903	237300	Metabolic-ID	AR
407	CPT1A	ENST00000540367, ENST00000376618, ENST00000265641, ENST00000539743, ENST00000538994	255120	Metabolic	AR
408	CPT2	ENST00000371486, ENST00000636867, ENST00000636891, ENST00000637252, ENST00000636935, ENST00000635862	600649	Metabolic	AR-AD
409	CR2	ENST00000367057, ENST00000367058, ENST00000367059, ENST00000640301	614699	Immune system	AR
410	CRADD	ENST00000552983, ENST00000332896, ENST00000552033, ENST00000548483, ENST00000542893, ENST00000535699, ENST00000538660	614499	ID	AR
411	CRB1	ENST00000638467, ENST00000367400, ENST00000367399, ENST00000367397	600105	Blindness	AR-AD
412	CRB2	ENST00000359999, ENST00000373631	616220	Cilia+Kidney	AR
413	CRBN	ENST00000639284, ENST00000629101, ENST00000231948, ENST00000432408	607417	ID	AR
414	CREB3L1	ENST00000621158	616229	Skeletal	AR
415	CRIPT	ENST00000238892	615789	ID	AR
416	CRLF1	ENST00000392386	272430	ID	AR
417	CRTAP	ENST00000320954, ENST00000449224	610682	Skeletal	AR
418	CRYAA	ENST00000291554, ENST00000398133, ENST00000398132	604219	Blindness	AR-AD
419	CRYAB	ENST00000526180, ENST00000533280, ENST00000525823, ENST00000616970, ENST00000533475, ENST00000527950, ENST00000227251, ENST00000531198, ENST00000533971	613869	Multi-system	AR-AD
420	CRYBB1	ENST00000215939	611544	Blindness	AR-AD
421	CRYBB3	ENST00000215855, ENST00000404334	609741	Blindness	AR-AD
422	CSF2RB	ENST00000403662, ENST00000262825, ENST00000406230	614370	Immune system	AR
423	CSPP1	ENST00000262210, ENST00000519668	615636	ID	AR
424	CSTA	ENST00000264474, ENST00000479204	607936	Dermatologic	AR
425	CSTB	ENST00000291568, ENST00000640406	254800	ID	AR
426	CTC1	ENST00000315684	612199	Multi-system	AR
427	CTDP1	ENST00000613122, ENST00000075430, ENST00000299543	604168	ID	AR
428	CTNS	ENST00000046640, ENST00000381870, ENST00000399306	219800	Metabolic	AR
429	CTPS1	ENST00000372621, ENST00000372616	615897	Immune system	AR
430	CTSA	ENST00000372484, ENST00000354880, ENST00000191018, ENST00000372459	256540	Metabolic-ID	AR
431	CTSC	ENST00000227266, ENST00000524463, ENST00000529974	245010	Metabolic	AR
432	CTSD	ENST00000236671, ENST00000637815, ENST00000637915, ENST00000636571, ENST00000637387, ENST00000636843	610127	Metabolic-ID	AR
433	CTSF	ENST00000310325	615362	Neuromuscular	AR
434	CTSK	ENST00000271651	265800	Metabolic	AR
435	CUBN	ENST00000377833, ENST00000377823	261100	Metabolic	AR
436	CUL7	ENST00000265348, ENST00000535468	273750	Skeletal	AR
437	CWC27	ENST00000381070, ENST00000508024	250410	ID	AR
438	CWF19L1	ENST00000354105, ENST00000340533	616127	ID	AR
439	CYB5A	ENST00000494131, ENST00000397914, ENST00000299438	250790	Endocrine	AR
440	CYB5R3	ENST00000361740, ENST00000352397, ENST00000407623, ENST00000407332, ENST00000402438	250800	Metabolic-ID	AR
441	CYBA	ENST00000261623, ENST00000567174, ENST00000569359	233690	Immune system	AR
442	CYC1	ENST00000318911	615453	Metabolic	AR
443	CYP11A1	ENST00000358632, ENST00000268053	613743	Metabolic	AR-AD
444	CYP11B1	ENST00000292427, ENST00000517471, ENST00000377675	202010	Metabolic	AR-AD
445	CYP11B2	ENST00000323110	203400	Metabolic	AR
446	CYP17A1	ENST00000638190, ENST00000638971, ENST00000369887	202110	Metabolic	AR
447	CYP1B1	ENST00000638272, ENST00000639393, ENST00000610745, ENST00000494864, ENST00000614273	231300	Metabolic	AR
448	CYP24A1	ENST00000216862, ENST00000395955, ENST00000395954	143880	Cilia+Kidney	AR
449	CYP26C1	ENST00000285949	614974	Dermatologic	AR
450	CYP27A1	ENST00000258415	213700	Metabolic-ID	AR
451	CYP27B1	ENST00000228606	264700	Metabolic	AR
452	CYP2R1	ENST00000334636, ENST00000532378	600081	Metabolic	AR
453	CYP2U1	ENST00000332884, ENST00000508453	615030	Metabolic-ID	AR
454	CYP4F22	ENST00000269703, ENST00000601005	604777	Dermatologic	AR
455	CYP4V2	ENST00000378802	210370	Blindness	AR
456	CYP7B1	ENST00000310193	613812	Metabolic	AR
457	D2HGDH	ENST00000321264, ENST00000403782	600721	Metabolic-ID	AR
458	DAG1	ENST00000515359, ENST00000308775, ENST00000538711, ENST00000539901, ENST00000541308, ENST00000545947	613818	ID	AR
459	DARS	ENST00000264161	615281	ID	AR
460	DARS2	ENST00000361951	611105	Metabolic-ID	AR
461	DBH	ENST00000393056	223360	Metabolic	AR
462	DBT	ENST00000370132, ENST00000370131	248600	Metabolic-ID	AR
463	DCAF17	ENST00000539783, ENST00000375255, ENST00000611110	241080	Metabolic-ID	AR
464	DCDC2	ENST00000378454, ENST00000378450	616217	Multi-system	AR
465	DCLRE1C	ENST00000378289, ENST00000378246, ENST00000357717, ENST00000378249, ENST00000378254, ENST00000378255, ENST00000378278, ENST00000396817, ENST00000378258, ENST00000378242	603554	Multi-system	AR
466	DCPS	ENST00000263579	616459	ID	AR
467	DDB2	ENST00000256996, ENST00000378600, ENST00000378603	278740	Multi-system	AR
468	DDC	ENST00000357936, ENST00000615193, ENST00000617822, ENST00000622873, ENST00000431062, ENST00000426377, ENST00000444124, ENST00000380984	608643	Metabolic-ID	AR
469	DDHD1	ENST00000612692, ENST00000395606, ENST00000323669, ENST00000357758	609340	Metabolic	AR
470	DDHD2	ENST00000397166, ENST00000520272, ENST00000517385, ENST00000529845	615033	ID	AR
471	DDR2	ENST00000367922, ENST00000367921	271665	Skeletal	AR-AD
472	DDRGK1	ENST00000354488, ENST00000380201	602557	Skeletal	AR
473	DDX11	ENST00000542838, ENST00000228264, ENST00000545668, ENST00000350437	613398	ID	AR
474	DDX59	ENST00000447706, ENST00000331314	174300	ID	AR
475	DENND5A	ENST00000328194, ENST00000530044	617281	ID	AR
476	DES	ENST00000373960	601419	Metabolic	AR-AD
477	DFNB59	ENST00000409117, ENST00000375129	610220	Deafness	AR
478	DGKE	ENST00000284061, ENST00000629438, ENST00000572810	615008	Metabolic	AR
479	DGUOK	ENST00000264093, ENST00000348222	251880	Metabolic	AR
480	DHCR24	ENST00000371269, ENST00000535035	602398	Metabolic-ID	AR
481	DHCR7	ENST00000407721, ENST00000355527, ENST00000427245, ENST00000525682	270400	Metabolic-ID	AR
482	DHDDS	ENST00000236342, ENST00000526219, ENST00000374185, ENST00000360009	613861	Metabolic-ID	AR-AD
483	DHFR	ENST00000439211, ENST00000505337, ENST00000511032, ENST00000504396	613839	Metabolic-ID	AR
484	DHH	ENST00000266991	233420	Endocrine	AR
485	DHODH	ENST00000572887, ENST00000219240	263750	Metabolic	AR
486	DHTKD1	ENST00000263035	204750	Metabolic-ID	AR-AD
487	DIS3L2	ENST00000273009, ENST00000325385, ENST00000409401, ENST00000409307	267000	ID	AR
488	DLAT	ENST00000280346, ENST00000393051	245348	Metabolic	AR
489	DLD	ENST00000205402, ENST00000639772, ENST00000440410, ENST00000437604	246900	Metabolic-ID	AR
490	DLL3	ENST00000356433, ENST00000205143	277300	Skeletal	AR
491	DMGDH	ENST00000255189	605850	Metabolic	AR
492	DMP1	ENST00000282479, ENST00000339673	241520	Multi-system	AR
493	DNAAF1	ENST00000378553	613193	Cilia+Kidney	AR
494	DNAAF2	ENST00000298292, ENST00000406043	612518	Cilia+Kidney	AR-AD
495	DNAAF3	ENST00000455045, ENST00000524407, ENST00000527223, ENST00000391720	606763	Cilia+Kidney	AR
496	DNAAF4	ENST00000448430, ENST00000457155, ENST00000348518, ENST00000321149	615482	Cilia+Kidney	AR
497	DNAAF5	ENST00000297440, ENST00000403952	614874	Cilia+Kidney	AR
498	DNAH11	ENST00000620169, ENST00000328843, ENST00000409508	611884	Cilia+Kidney	AR
499	DNAH5	ENST00000265104	608644	Cilia+Kidney	AR-AD
500	DNAI1	ENST00000614641, ENST00000242317	244400	Cilia+Kidney	AR
501	DNAI2	ENST00000582036, ENST00000311014, ENST00000446837, ENST00000579490	612444	Cilia+Kidney	AR-AD
502	DNAJB2	ENST00000336576, ENST00000392086	614881	Neuromuscular	AR
503	DNAJC12	ENST00000225171, ENST00000483798, ENST00000339758	617384	Metabolic-ID	AR
504	DNAJC19	ENST00000382564, ENST00000486355, ENST00000491873, ENST00000479269	610198	Metabolic-ID	AR
505	DNAJC21	ENST00000342382, ENST00000382021	617052	Multi-system	AR
506	DNAJC6	ENST00000263441, ENST00000395325, ENST00000371069	615528	Neuromuscular	AR
507	DNAL 1	ENST00000553645, ENST00000311089, ENST00000554339, ENST00000554871	614017	Cilia+Kidney	AR
508	DNASE1L3	ENST00000486455, ENST00000483681, ENST00000394549	614420	Immune system	AR
509	DNM1L	ENST00000452533, ENST00000414834, ENST00000553257, ENST00000549701, ENST00000358214, ENST00000266481, ENST00000547312, ENST00000381000	614388	Metabolic	AR-AD
510	DNMT3B	ENST00000328111, ENST00000348286, ENST00000353855, ENST00000443239, ENST00000456297, ENST00000201963	242860	Metabolic-ID	AR
511	DOCK2	ENST00000256935, ENST00000540750, ENST00000520908	616433	Immune system	AR
512	DOCK6	ENST00000294618	614219	ID	AR
513	DOCK7	ENST00000251157, ENST00000454575, ENST00000340370, ENST00000634264, ENST00000635123, ENST00000635253, ENST00000404627	615859	ID	AR
514	DOCK8	ENST00000432829, ENST00000453981, ENST00000469391, ENST00000382331, ENST00000382329	243700	Multi-system	AR
515	DOK7	ENST00000340083, ENST00000507039, ENST00000515886	254300	Neuromuscular	AR
516	DOLK	ENST00000372586	610768	Metabolic-ID	AR
517	DONSON	ENST00000303113, ENST00000453626, ENST00000303071, ENST00000432378	617604	ID	AR
518	DPAGT1	ENST00000409993, ENST00000354202, ENST00000639704	608093	Metabolic-ID	AR
519	DPH1	ENST00000263083, ENST00000570477	616901	ID	AR
520	DPM1	ENST00000371588, ENST00000371582	608799	Metabolic-ID	AR
521	DPM2	ENST00000314392, ENST00000373110	615042	Metabolic	AR
522	DPM3	ENST00000368399, ENST00000368400, ENST00000341298	612937	Metabolic	AR
523	DPY19L2	ENST00000324472	613958	Endocrine	AR
524	DPYD	ENST00000370192, ENST00000306031	274270	Metabolic-ID	AR
525	DPYS	ENST00000351513	222748	Metabolic-ID	AR
526	DRAM2	ENST00000286692, ENST00000539140	616502	Blindness	AR
527	DRC1	ENST00000288710	615294	Cilia+Kidney	AR
528	DSC2	ENST00000280904, ENST00000251081	610476	Multi-system	AR-AD
529	DSC3	ENST00000360428, ENST00000434452	613102	Dermatologic	AR
530	DSE	ENST00000452085, ENST00000331677, ENST00000359564	615539	Dermatologic	AR
531	DSG4	ENST00000308128, ENST00000359747	607903	Dermatologic	AR
532	DST	ENST00000421834, ENST00000312431, ENST00000370788, ENST00000361203, ENST00000244364, ENST00000370765, ENST00000518935	614653	Multi-system	AR
533	DSTYK	ENST00000367161, ENST00000367162, ENST00000615388	270750	Cilia+Kidney	AR-AD
534	DTNBP1	ENST00000344537, ENST00000355917, ENST00000622898, ENST00000338950, ENST00000462989	614076	Multi-system	AR
535	DUOX2	ENST00000389039, ENST00000603300	607200	Endocrine	AR
536	DUOXA2	ENST00000323030	274900	ID	AR
537	DYM	ENST00000269445, ENST00000442713, ENST00000578396	223800	ID	AR
538	DYNC2H1	ENST00000375735, ENST00000334267, ENST00000398093	613091	Multi-system	AR
539	DYNC2L11	ENST00000260605, ENST00000406852, ENST00000398823, ENST00000605786	617088	Multi-system	AR
540	DYSF	ENST00000409582, ENST00000409762, ENST00000413539, ENST00000429174, ENST00000258104, ENST00000394120, ENST00000409366, ENST00000409651, ENST00000409744, ENST00000410020, ENST00000410041	254130	Neuromuscular	AR
541	DZIP1L	ENST00000327532, ENST00000469243	617610	Cilia+Kidney	AR
542	EARS2	ENST00000449606, ENST00000563459, ENST00000564501, ENST00000563232	614924	Metabolic	AR
543	ECEL1	ENST00000304546, ENST00000409941	615065	Neuromuscular	AR
544	ECHS1	ENST00000368547	616277	Metabolic-ID	AR
545	ECM1	ENST00000369049, ENST00000369047, ENST00000346569	247100	Dermatologic	AR
546	EDAR	ENST00000409271, ENST00000258443, ENST00000376651	224900	Multi-system	AR-AD
547	EDARADD	ENST00000637660, ENST00000334232, ENST00000359362	614941	Multi-system	AR-AD
548	EDN1	ENST00000379375	615706	Skeletal	AR-AD
549	EDN3	ENST00000337938, ENST00000311585, ENST00000371028, ENST00000371025, ENST00000395654	613265	Multi-system	AR-AD
550	EDNRB	ENST00000377211, ENST00000334286, ENST00000626030	600501	Multi-system	AR-AD
551	EFEMP2	ENST00000528176, ENST00000307998	614437	Multi-system	AR
552	EFL1	ENST00000268206, ENST00000359445	617941	Multi-system	AR
553	EGF	ENST00000509793, ENST00000265171, ENST00000503392	611718	Multi-system	AR-AD
554	EGR2	ENST00000242480, ENST00000411732, ENST00000439032	145900	Neuromuscular	AR-AD
555	EIF2AK3	ENST00000419748, ENST00000303236	226980	ID	AR
556	EIF2AK4	ENST00000559624, ENST00000263791, ENST00000560648	234810	Neuromuscular	AR
557	EIF2B1	ENST00000424014, ENST00000539951, ENST00000537073	603896	Neuromuscular	AR
558	EIF2B2	ENST00000266126	603896	Neuromuscular	AR
559	EIF2B3	ENST00000620860, ENST00000360403, ENST00000372183	603896	Neuromuscular	AR
560	EIF2B4	ENST00000616081, ENST00000347454, ENST00000622434, ENST00000445933, ENST00000451130, ENST00000493344	603896	Neuromuscular	AR
561	EIF2B5	ENST00000273783, ENST00000432569	603896	Neuromuscular	AR
562	EIF4A3	ENST00000269349	268305	ID	AR
563	ELAC2	ENST00000338034, ENST00000395962, ENST00000426905, ENST00000578071	615440	Metabolic-ID	AR
564	ELOVL4	ENST00000369816	614457	Metabolic-ID	AR-AD
565	ELP1	ENST00000374647, ENST00000537196	223900	Neuromuscular	AR
566	ELP2	ENST00000358232, ENST00000351393, ENST00000442325, ENST00000423854, ENST00000350494, ENST00000542824	617270	ID	AR
567	EMC1	ENST00000477853, ENST00000375199, ENST00000375208	616875	ID	AR
568	EMG1	ENST00000599672, ENST00000607161	211180	ID	AR
569	EML1	ENST00000327921, ENST00000262233, ENST00000334192	600348	ID	AR
570	EMP2	ENST00000359543, ENST00000536829	615861	Cilia+Kidney	AR
571	ENAM	ENST00000396073	204650	Multi-system	AR-AD
572	ENPP1	ENST00000360971	208000	Multi-system	AR-AD
573	ENTPD1	ENST00000453258, ENST00000371207, ENST00000543964, ENST00000371205	615683	ID	AR
574	EOGT	ENST00000383701, ENST00000295571, ENST00000615922, ENST00000540764, ENST00000540955	615297	Metabolic	AR
575	EPB41	ENST00000343067, ENST00000356093, ENST00000349460, ENST00000373800, ENST00000347529, ENST00000373798, ENST00000373797	611804	Hematologic	AR-AD
576	EPB42	ENST00000300215, ENST00000540029, ENST00000441366, ENST00000622454	612690	Hematologic	AR-AD
577	EPCAM	ENST00000405271, ENST00000263735	613244		AR
578	EPG5	ENST00000282041	242840	ID	AR
579	EPM2A	ENST00000367519, ENST00000639423, ENST00000618445, ENST00000611340, ENST00000435470, ENST00000638262, ENST00000640980, ENST00000639465, ENST00000638783, ENST00000638778	254780	Neuromuscular	AR
580	EPRS	ENST00000366923	617951	ID	AR
581	EPS8L2	ENST00000318562, ENST00000533256, ENST00000614442, ENST00000530636, ENST00000526198, ENST00000610855	617637	Deafness	AR
582	ERAL1	ENST00000254928	617565	Metabolic	AR
583	ERCC1	ENST00000300853, ENST00000423698, ENST00000340192, ENST00000591636, ENST00000589165, ENST00000013807	610758	ID	AR
584	ERCC2	ENST00000391945, ENST00000391944, ENST00000485403	610756	ID	AR
585	ERCC3	ENST00000285398	601675	ID	AR
586	ERCC4	ENST00000575156, ENST00000311895	615272	Multi-system	AR
587	ERCC5	ENST00000355739, ENST00000535557, ENST00000375954	616570	ID	AR
588	ERCC6	ENST00000355832, ENST00000447839, ENST00000515869, ENST00000374127	214150	ID	AR-AD
589	ERCC6L2	ENST00000288985	615715	Hematologic	AR
590	ERCC8	ENST00000265038	216400	ID	AR
591	ERLIN1	ENST00000421367, ENST00000407654	615681	Neuromuscular	AR
592	ERLIN2	ENST00000397228, ENST00000523887, ENST00000276461, ENST00000518586, ENST00000335171, ENST00000523107, ENST00000519638	611225	ID	AR
593	ESCO2	ENST00000305188, ENST00000397418	268300	ID	AR
594	ESPN	ENST00000636330, ENST00000377828, ENST00000416731, ENST00000461727	609006	Deafness	AR
595	ESR1	ENST00000440973, ENST00000338799, ENST00000443427, ENST00000206249, ENST00000406599, ENST00000456483, ENST00000427531, ENST00000638569	615363	Endocrine	AR
596	ESRRB	ENST00000380887, ENST00000509242, ENST00000556177	608565	Deafness	AR
597	ETFA	ENST00000557943, ENST00000433983, ENST00000560726, ENST00000559602	231680	Metabolic	AR
598	ETFB	ENST00000354232, ENST00000309244	231680	Metabolic-ID	AR
599	ETFDH	ENST00000511912, ENST00000307738	231680	Metabolic	AR
600	ETHE1	ENST00000292147, ENST00000600651	602473	Metabolic-ID	AR
601	EVC	ENST00000264956, ENST00000509451	225500	Multi-system	AR-AD
602	EVC2	ENST00000344408, ENST00000310917	225500	Multi-system	AR-AD
603	EXOSC2	ENST00000372358, ENST00000546165, ENST00000372352, ENST00000372351	617763	ID	AR
604	EXOSC3	ENST00000327304, ENST00000396521	614678	ID	AR
605	EXOSC8	ENST00000389704	616081	Neuromuscular	AR
606	EXOSC9	ENST00000243498, ENST00000379663, ENST00000512454	1	ID	AR
607	EXPH5	ENST00000265843, ENST00000525344	615028	Dermatologic	AR
608	EXT2	ENST00000533608, ENST00000358681, ENST00000395673, ENST00000343631	616682	Metabolic	AR-AD
609	EXTL3	ENST00000523149, ENST00000220562	617425	ID	AR
610	EYS	ENST00000503581, ENST00000370621, ENST00000393380, ENST00000342421	602772	Blindness	AR
611	F10	ENST00000409306, ENST00000375551, ENST00000375559	227600	Hematologic	AR
612	F11	ENST00000403665, ENST00000492972, ENST00000264692	612416	Hematologic	AR-AD
613	F12	ENST00000253496	234000	Multi-system	AR-AD
614	F13A1	ENST00000264870	613225	Hematologic	AR
615	F13B	ENST00000367412	613235	Hematologic	AR
616	F2	ENST00000311907, ENST00000530231	613679	Hematologic	AR-AD
617	F5	ENST00000367796, ENST00000367797	227400	Hematologic	AR-AD
618	F7	ENST00000541084, ENST00000346342, ENST00000375581	227500	Hematologic	AR
619	FA2H	ENST00000219368	612319	Metabolic-ID	AR
620	FADD	ENST00000301838	613759	Immune system	AR
621	FAH	ENST00000407106, ENST00000261755, ENST00000561421, ENST00000539156	276700	Metabolic	AR
